Table: dish
Id,Name,Photo,Composition,Weight,Menu_id
9,"Спагетти карбонара",spaghetti_carbonara.jpg,"спагетти, бекон, яичный соус, пармезан",250,1
10,"Тальятелле с грибами",tagliatelle_mushrooms.jpg,"тальятелле, грибы, сливки, пармезан",300,1
11,Маргарита,margherita.jpg,"томатный соус, моцарелла, базилик",400,2
12,Пепперони,pepperoni.jpg,"томатный соус, пепперони, моцарелла",450,2
13,Цезарь,caesar_salad.jpg,"салатный микс, куринное филе, сухарики, соус Цезарь",400,3
14,Греческий,5e26b56a-222f-4d5e-a30a-0adea463a04e.png,"помидоры, огурцы, перец, красный лук, кунжут, оливковое масло",300,3
24,Иван,0-1d766951-e332-4a17-b203-410f16e4fe85.png,wewew,1234,3

Table: menu
id,Name
1,Паста
2,Пицца
3,Салаты
